연도,항목,심     야(0시-4시),새     벽(4시-7시),오     전(7시-12시),오     후(12시-18시),초 저 녁(18시-20시),밤(20시-24시)
2017,강력범,279,94,79,122,64,163
2017,절도범,1301,429,1019,1697,655,1113
2017,폭력범,2546,631,1077,1418,755,2373
2017,지능범,4721,114,1349,1367,302,639
2017,풍속범,40,12,25,51,21,46
2017,기타형법범,1162,88,361,476,140,438
2017,특별법범,4709,867,2727,4067,1643,5804
2018,강력범,315,92,77,124,62,177
2018,절도범,1247,411,876,1569,582,855
2018,폭력범,2736,741,1070,1506,785,2364
2018,지능범,5969,131,1193,1606,372,594
2018,풍속범,55,10,24,49,19,48
2018,기타형법범,1405,108,354,528,168,349
2018,특별법범,4308,797,2529,3588,1508,4226
2019,강력범,317,80,76,129,60,144
2019,절도범,1169,402,972,1788,581,943
2019,폭력범,2438,576,982,1435,721,2055
2019,지능범,6869,135,1244,1708,388,597
2019,풍속범,47,9,22,34,24,33
2019,기타형법범,1327,71,337,488,161,406
2019,특별법범,3866,751,2630,3810,1620,3722
2020,강력범,271,75,64,127,47,147
2020,절도범,1088,399,853,1597,516,804
2020,폭력범,2366,577,933,1577,760,2050
2020,지능범,7671,123,1297,2033,438,735
2020,풍속범,50,5,16,48,22,45
2020,기타형법범,1263,112,361,532,173,427
2020,특별법범,3697,694,2342,3551,1484,3250
2021,강력범,264,48,69,140,78,117
2021,절도범,997,464,758,1560,727,538
2021,폭력범,1757,493,767,1405,1099,1609
2021,지능범,6491,163,1001,2132,656,451
2021,풍속범,77,8,14,59,38,32
2021,기타형법범,1135,103,260,470,241,272
2021,특별법범,3342,719,1794,3302,2030,2302
2022,강력범,292,55,87,140,65,177
2022,절도범,1011,419,1112,1921,615,955
2022,폭력범,2073,436,909,1444,752,2144
2022,지능범,8325,133,1228,2770,649,1019
2022,풍속범,98,3,10,45,30,50
2022,기타형법범,1312,86,309,422,164,361
2022,특별법범,3954,555,1445,2427,949,2785
