"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
"세븐일레븐 유성온천역점",대전광역시,유성구,30200,"대전광역시 유성구 계룡로 92, 1층 108호(봉명동, 유성CJ나인파크)",대전광역시 유성구 봉명동 553-2,36.35347404,127.3405936,042-824-2590,대전유성경찰서 유성지구대,,Y,2024-02-14
GS25 대전타운점,대전광역시,유성구,30200,"대전광역시 유성구 계룡로105번길 20, 101호(봉명동, 케이타운)",대전광역시 유성구 봉명동 550-9,36.35422025,127.343101,042-826-2829,대전유성경찰서 유성지구대,,N,2024-02-14
GS25 유성로망스점,대전광역시,유성구,30200,대전광역시 유성구 계룡로123번길 30(봉명동),대전광역시 유성구 봉명동 546-18,36.35431951,127.344935,042-826-2412,대전유성경찰서 유성지구대,,N,2024-02-14
"오렌지마트",대전광역시,유성구,30200,대전광역시 유성구 계룡로141번길 14-5(봉명동),대전광역시 유성구 봉명동 544-15,36.35329787,127.346704,042-825-5255,대전유성경찰서 유성지구대,,Y,2024-02-14
GS25 유성대온장점,대전광역시,유성구,30200,"대전광역시 유성구 계룡로87번길 50, 1층(봉명동)",대전광역시 유성구 봉명동 535-8,36.356216,127.341532,042-823-2505,대전유성경찰서 유성지구대,,Y,2024-02-14
GS25 유성스카이점,대전광역시,유성구,30200,대전광역시 유성구 대학로 49(봉명동),대전광역시 유성구 봉명동 606-2,36.35820106,127.3426776,042-826-6130,대전유성경찰서 유성지구대,,N,2024-02-14
"미니스톱 유성센터점",대전광역시,유성구,30200,대전광역시 유성구 대학로 53(봉명동),대전광역시 유성구 봉명동 606-1,36.358503,127.342828,042-824-2333,대전유성경찰서 유성지구대,,Y,2024-02-14
GS25 봉명스카이점,대전광역시,유성구,30200,대전광역시 유성구 문화원로 111(봉명동),대전광역시 유성구 봉명동 640-4,36.3590429,127.3482387,042-825-0871,대전유성경찰서 유성지구대,,Y,2024-02-14
"유성DQ24 사이언스점",대전광역시,유성구,30200,"대전광역시 유성구 온천로 60, 1층(봉명동, 사이언스타운주상복합)",대전광역시 유성구 봉명동 549-1,36.354582,127.3443059,042-823-9986,대전유성경찰서 유성지구대,,Y,2024-02-14
CSPACE 유성봉명점,대전광역시,유성구,30200,대전광역시 유성구 온천로 80(봉명동),대전광역시 유성구 봉명동 546-4,36.354584,127.346482,042-824-0535,대전유성경찰서 유성지구대,,Y,2024-02-14
CU 유성타운점,대전광역시,유성구,30200,"대전광역시 유성구 온천북로33번길 21-4, 1층(봉명동, 스타트타워)",대전광역시 유성구 봉명동 630-5,36.357992,127.346732,042-824-1191,대전유성경찰서 유성지구대,,N,2024-02-14
GS25 유성중앙점,대전광역시,유성구,30200,대전광역시 유성구 온천북로33번길 36-38(봉명동),대전광역시 유성구 봉명동 642-2,36.358132,127.349282,042-825-2629,대전유성경찰서 유성지구대,,N,2024-02-14
GS25 궁동자연점,대전광역시,유성구,30200,"대전광역시 유성구 궁동로 49, 101호(궁동, 자연아파트상가)",대전광역시 유성구 궁동 393-3,36.36430091,127.3502989,042-822-2521,대전유성경찰서 도룡지구대,,N,2024-02-14
"위드미편의점 대전유성점",대전광역시,유성구,30200,"대전광역시 유성구 궁동로18번길 17, 1층(궁동)",대전광역시 유성구 궁동 395-10,36.362931,127.348373,042-824-9468,대전유성경찰서 도룡지구대,,N,2024-02-14
"위드미편의점 대전궁동점",대전광역시,유성구,30200,대전광역시 유성구 궁동로18번길 58(궁동),대전광역시 유성구 궁동 409-1,36.362636,127.350504,042-824-7771,대전유성경찰서 도룡지구대,,Y,2024-02-14
GS25 대전대림점,대전광역시,유성구,30200,대전광역시 유성구 농대로 17(궁동),대전광역시 유성구 궁동 405-11,36.362181,127.352959,042-824-1924,대전유성경찰서 도룡지구대,,N,2024-02-14
GS25 로데오점,대전광역시,유성구,30200,"대전광역시 유성구 대학로151번길 18, 1호(궁동)",대전광역시 유성구 궁동 425-15,36.361437,127.350291,042-824-0640,대전유성경찰서 도룡지구대,,N,2024-02-14
GS25 궁동타운점,대전광역시,유성구,30200,대전광역시 유성구 대학로151번길 45(궁동),대전광역시 유성구 궁동 410-1,36.362634,127.350003,042-824-7119,대전유성경찰서 도룡지구대,,Y,2024-02-14
"세븐일레븐 궁동점",대전광역시,유성구,30200,대전광역시 유성구 대학로155번길 21(궁동),대전광역시 유성구 궁동 409-4,36.361897,127.3505065,042-824-2645,대전유성경찰서 도룡지구대,,N,2024-02-14
GS25 충남대학사점,대전광역시,유성구,30200,대전광역시 유성구 대학로81번길 32-11(궁동),대전광역시 유성구 궁동 451-7,36.362074,127.343154,042-826-2523,대전유성경찰서 유성지구대,,N,2024-02-14
"세븐일레븐 장대인산점",대전광역시,유성구,30200,대전광역시 유성구 문화원로 49(궁동),대전광역시 유성구 궁동 471-14,36.360064,127.341522,042-824-3153,대전유성경찰서 유성지구대,,Y,2024-02-14
"세븐일레븐 대덕연구단지점",대전광역시,유성구,30200,대전광역시 유성구 어은로48번길 1(어은동),대전광역시 유성구 어은동 110-7,36.362754,127.357189,042-862-0020,대전유성경찰서 도룡지구대,,Y,2024-02-14
"세븐일레븐 카이스트점",대전광역시,유성구,30200,대전광역시 유성구 어은로52번길 30(어은동),대전광역시 유성구 어은동 112-1,36.363951,127.358728,042-863-5933,대전유성경찰서 도룡지구대,,N,2024-02-14
"세븐일레븐 유성한빛점",대전광역시,유성구,30200,대전광역시 유성구 어은로57번길 3(어은동),대전광역시 유성구 어은동 108-4,36.363046,127.3563413,042-861-2695,대전유성경찰서 유성지구대,,Y,2024-02-14
"세븐일레븐 대전장대점",대전광역시,유성구,30200,대전광역시 유성구 온천서로 38(장대동),대전광역시 유성구 장대동 375-9,36.35771836,127.340038,042-825-5711,대전유성경찰서 유성지구대,,Y,2024-02-14
CU 유성장대점,대전광역시,유성구,30200,대전광역시 유성구 유성대로730번길 96(장대동),대전광역시 유성구 장대동 286-1,36.357674,127.338066,042-824-5487,대전유성경찰서 유성지구대,,N,2024-02-14
"프레스코 편의점",대전광역시,유성구,30200,대전광역시 유성구 유성대로821번길 4-1(장대동),대전광역시 유성구 장대동 305-8,36.36538417,127.3379846,042-824-7957,대전유성경찰서 유성지구대,,N,2024-02-14
"위드미편의점 유성덕명점",대전광역시,유성구,30200,대전광역시 유성구 학하서로 126-30(덕명동),대전광역시 유성구 덕명동 601-11,36.346677,127.301138,042-472-7000,대전유성경찰서 유성지구대,,N,2024-02-14
GS25 한밭대학사점,대전광역시,유성구,30200,대전광역시 유성구 학하서로121번길 142(덕명동),대전광역시 유성구 덕명동 597-4,36.348583,127.2987924,042-826-2515,대전유성경찰서 유성지구대,,Y,2024-02-14
GS25 한밭대후문점,대전광역시,유성구,30200,대전광역시 유성구 학하서로 172(덕명동),대전광역시 유성구 덕명동 610-1,36.344977,127.304819,042-826-6931,대전유성경찰서 유성지구대,,N,2024-02-14
