연도,구분,죄종,발생건수
2018,중구,살인,6
2018,중구,강도,15
2018,중구,"강간,강제추행",135
2018,중구,절도,1026
2018,중구,폭력,2085
2018,동구,살인,0
2018,동구,강도,10
2018,동구,"강간,강제추행",135
2018,동구,절도,999
2018,동구,폭행,1568
2018,서구,살인,5
2018,서구,강도,14
2018,서구,"강간,강제추행",273
2018,서구,절도,1757
2018,서구,폭행,2946
2018,대덕구,살인,1
2018,대덕구,강도,6
2018,대덕구,"강간,강제추행",65
2018,대덕구,절도,652
2018,대덕구,폭행,1107
2018,유성구,살인,3
2018,유성구,강도,6
2018,유성구,"강간,강제추행",127
2018,유성구,절도,1107
2018,유성구,폭행,1496
2019,중구,살인,5
2019,중구,강도,6
2019,중구,"강간,강제추행",141
2019,중구,절도,1220
2019,중구,폭력,1550
2019,동구,살인,3
2019,동구,강도,8
2019,동구,"강간,강제추행",83
2019,동구,절도,1175
2019,동구,폭행,1243
2019,서구,살인,4
2019,서구,강도,8
2019,서구,"강간,강제추행",295
2019,서구,절도,1788
2019,서구,폭행,2945
2019,대덕구,살인,0
2019,대덕구,강도,1
2019,대덕구,"강간,강제추행",57
2019,대덕구,절도,646
2019,대덕구,폭행,1114
2019,유성구,살인,6
2019,유성구,강도,2
2019,유성구,"강간,강제추행",137
2019,유성구,절도,1024
2019,유성구,폭행,1343
2020,중구,살인,2
2020,중구,강도,3
2020,중구,"강간,강제추행",127
2020,중구,절도,1028
2020,중구,폭력,1602
2020,동구,살인,1
2020,동구,강도,4
2020,동구,"강간,강제추행",90
2020,동구,절도,1033
2020,동구,폭행,1351
2020,서구,살인,11
2020,서구,강도,4
2020,서구,"강간,강제추행",263
2020,서구,절도,1633
2020,서구,폭행,2906
2020,대덕구,살인,0
2020,대덕구,강도,1
2020,대덕구,"강간,강제추행",64
2020,대덕구,절도,637
2020,대덕구,폭행,1125
2020,유성구,살인,3
2020,유성구,강도,2
2020,유성구,"강간,강제추행",116
2020,유성구,절도,924
2020,유성구,폭행,1264
